word,translation,pronunciation,partOfSpeech,definition,exampleSentence
to watch TV,看电视,/wɔʧ ˌtɛləˈvɪʒən/,verb,to view television programs - relax and enjoy shows,I watch TV every evening.
television,看电视,/ˈtɛləˌvɪʒən/,noun,a device that shows moving pictures and sounds - entertainment box,What's on television?
to listen to music,听音乐,/ˈlɪsən tɪ mˈjuzɪk/,verb,to hear songs and sounds - very relaxing and fun,I listen to music while working.
to read a book,读书,/rɛd ə bʊk/,verb,to look at words in a book and understand the story - escape to another world,I read a book before bed.
to play video games,玩电子游戏,/pleɪ ˈvɪdioʊ geɪmz/,verb,to play games on a computer or console - have fun and compete,He plays video games all weekend.
to play board games,玩桌游,/pleɪ bɔrd geɪmz/,verb,to play games on a table with pieces - fun with friends,We play board games with friends.
to surf the Internet,上网,/sərf ðə ˈɪntərˌnɛt/,verb,to look at websites and information online - explore the web,I surf the Internet for news.
to do DIY,做手工制作,/du diy*/,verb,to make or fix things yourself - be creative and save money,He loves to do DIY projects.
to do crafts,做手工制作,/du kræfts/,verb,to make things with your hands - create beautiful art,She does crafts on weekends.
to play cards,打牌,/pleɪ kɑrdz/,verb,to play card games - fun with friends,Let's play cards tonight.
to do a puzzle,做拼图,/du ə ˈpəzəl/,verb,to solve a puzzle - exercise your brain,I do puzzles to relax.
to study,学习,/ˈstədi/,verb,to learn by reading and practicing - work hard to understand,I study English every day.
to do homework,做作业,/du ˈhoʊmˌwərk/,verb,to complete school work at home - practice what you learned,Do your homework first.
to review,复习,/ˌrivˈju/,verb,to look over what you learned - remember better,Review your notes before the exam.
to revise,复习,/rɪˈvaɪz/,verb,to study again before a test - prepare for exams,I need to revise for the test.
to learn,学习,/lərn/,verb,to gain knowledge - understand new things,I want to learn French.
to write,写作,/raɪt/,verb,to create words on paper - express your thoughts,I write in my journal.
to draw,画画,/drɔ/,verb,to make pictures with a pencil - create art,She loves to draw pictures.
to paint,绘画,/peɪnt/,verb,to create pictures with paint - be artistic,Painting relaxes me.
to do housework,做家务,/du ˈhaʊsˌwərk/,verb,to clean and organize your home - make it nice to live in,I do housework on Saturdays.
to cook,做饭,/kʊk/,verb,to prepare food by heating it - make delicious meals,I cook dinner every night.
to do the dishes,洗碗,/du ðə ˈdɪʃɪz/,verb,to wash plates and utensils - clean after eating,Who will do the dishes?
to tidy up,整理,/ˈtaɪdi əp/,verb,to put things in their right places - make everything neat,Tidy up your room.
to organize,整理,/ˈɔrgəˌnaɪz/,verb,to arrange things neatly - find everything easily,I need to organize my desk.
to clean,打扫,/klin/,verb,to make something free from dirt - wipe and scrub,Let's clean the house.
to exercise,做运动,/ˈɛksərˌsaɪz/,verb,to move your body to stay fit - stay healthy,Exercise is good for health.
to do sport,做运动,/du spɔrt/,verb,to play sports or exercise - have fun and stay fit,I do sport three times a week.
to run,跑步,/rən/,verb,to move fast on foot - great exercise,I run in the park every morning.
